"id","suhu","kelembaban","suhuudara","ph","tds","created_at","updated_at","pompa_air","pompa_nutrisi","level_air","air_min"
"1","-127.00","51.00","23.00","0.00","0.00","2025-08-20 08:30:53","2025-08-20 08:30:53","0","1","0.00","10.00"
"2","-127.00","51.00","23.00","0.00","0.00","2025-08-20 08:31:06","2025-08-20 08:31:06","0","1","0.00","10.00"
"3","-127.00","51.00","23.00","0.00","0.00","2025-08-20 08:31:18","2025-08-20 08:31:18","0","1","0.00","10.00"
"4","-127.00","51.00","23.00","0.00","0.00","2025-08-20 08:31:31","2025-08-20 08:31:31","0","1","0.00","10.00"
"5","-127.00","51.00","23.00","0.00","0.00","2025-08-20 08:31:44","2025-08-20 08:31:44","0","1","0.00","10.00"
"6","-127.00","52.00","23.00","0.00","0.00","2025-08-20 08:31:57","2025-08-20 08:31:57","0","1","0.00","10.00"
"7","-127.00","52.00","23.00","0.00","0.00","2025-08-20 08:32:10","2025-08-20 08:32:10","0","1","0.00","10.00"
"8","-127.00","53.00","23.00","0.00","0.00","2025-08-20 08:32:23","2025-08-20 08:32:23","0","1","0.00","10.00"
"9","-127.00","54.00","23.00","0.00","0.00","2025-08-20 08:32:36","2025-08-20 08:32:36","0","1","0.00","10.00"
"10","-127.00","55.00","23.40","0.00","0.00","2025-08-20 08:32:48","2025-08-20 08:32:48","0","1","0.00","10.00"
"11","-127.00","57.00","23.40","0.00","0.00","2025-08-20 08:33:01","2025-08-20 08:33:01","0","1","0.00","10.00"
"12","-127.00","56.00","23.40","0.00","0.00","2025-08-20 08:33:14","2025-08-20 08:33:14","0","1","0.00","10.00"
"13","-127.00","55.00","23.40","0.00","0.00","2025-08-20 08:33:28","2025-08-20 08:33:28","0","1","0.00","10.00"
"14","-127.00","57.00","23.40","0.00","0.00","2025-08-20 08:33:40","2025-08-20 08:33:40","0","1","0.00","10.00"
"15","25.30","55.00","23.40","0.00","0.00","2025-08-20 08:34:03","2025-08-20 08:34:03","0","1","0.00","10.00"
"16","25.40","54.00","23.40","0.00","0.00","2025-08-20 08:34:17","2025-08-20 08:34:17","0","1","0.00","10.00"
"17","25.50","54.00","23.40","0.00","0.00","2025-08-20 08:34:30","2025-08-20 08:34:30","0","1","0.00","10.00"
"18","25.60","54.00","23.40","0.00","0.00","2025-08-20 08:34:44","2025-08-20 08:34:44","0","1","0.00","10.00"
"19","25.60","54.00","23.40","0.00","0.00","2025-08-20 08:34:57","2025-08-20 08:34:57","0","1","0.00","10.00"
"20","25.60","54.00","23.40","0.00","0.00","2025-08-20 08:35:11","2025-08-20 08:35:11","0","1","0.00","10.00"
"21","26.80","53.00","24.10","0.00","0.00","2025-08-20 08:38:16","2025-08-20 08:38:16","1","0","16.70","10.00"
"22","24.10","54.00","23.80","0.00","0.00","2025-08-20 08:41:45","2025-08-20 08:41:45","1","0","45.90","10.00"
"23","24.10","55.00","24.10","0.00","0.00","2025-08-20 08:41:58","2025-08-20 08:41:58","0","1","3.70","10.00"
"24","23.70","53.00","24.10","0.00","0.00","2025-08-20 08:43:27","2025-08-20 08:43:27","1","0","12.30","10.00"
